user_id,signup_date,cohort_month,variant,visited_site,added_to_cart,started_checkout,completed_purchase,revenue,month_1_active,month_2_active,month_3_active
U100000,2026-04-21,2026-04,treatment,1,1,0,0,0.0,0,0,0
U100001,2026-06-25,2026-06,control,1,0,0,0,0.0,0,0,0
U100002,2026-06-04,2026-06,control,1,0,0,0,0.0,0,0,0
U100003,2026-05-20,2026-05,treatment,1,1,1,0,0.0,0,0,0
U100004,2026-03-13,2026-03,treatment,1,1,0,0,0.0,0,0,0
U100005,2026-03-13,2026-03,treatment,1,0,0,0,0.0,1,1,1
U100006,2026-02-13,2026-02,control,1,1,0,0,0.0,0,0,0
U100007,2026-06-17,2026-06,treatment,1,0,0,0,0.0,0,0,0
U100008,2026-05-20,2026-05,control,1,0,0,0,0.0,0,0,0
U100009,2026-06-01,2026-06,treatment,1,0,0,0,0.0,0,0,0
U100010,2026-01-26,2026-01,treatment,1,0,0,0,0.0,0,0,0
U100011,2026-06-27,2026-06,control,1,1,0,0,0.0,0,0,0
U100012,2026-06-14,2026-06,treatment,1,0,0,0,0.0,1,1,1
U100013,2026-03-24,2026-03,treatment,1,1,0,0,0.0,1,1,1
U100014,2026-03-18,2026-03,control,1,1,0,0,0.0,0,0,0
U100015,2026-03-19,2026-03,treatment,1,0,0,0,0.0,1,1,1
U100016,2026-04-10,2026-04,control,1,0,0,0,0.0,0,0,0
U100017,2026-05-11,2026-05,treatment,1,1,1,1,56.7,1,1,1
U100018,2026-04-29,2026-04,control,1,0,0,0,0.0,0,0,0
U100019,2026-04-08,2026-04,control,1,0,0,0,0.0,1,1,1
U100020,2026-05-21,2026-05,control,1,0,0,0,0.0,1,1,1
U100021,2026-03-09,2026-03,treatment,1,0,0,0,0.0,1,1,1
U100022,2026-04-08,2026-04,treatment,1,1,1,1,41.79,0,0,0
U100023,2026-04-19,2026-04,treatment,1,1,1,1,37.97,0,0,0
U100024,2026-05-02,2026-05,control,1,0,0,0,0.0,0,0,0
U100025,2026-06-09,2026-06,control,1,0,0,0,0.0,0,0,0
U100026,2026-03-22,2026-03,treatment,1,1,0,0,0.0,0,0,0
U100027,2026-05-10,2026-05,treatment,1,0,0,0,0.0,0,0,0
U100028,2026-05-19,2026-05,control,1,0,0,0,0.0,0,0,0
